Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94
106780,456248930629003,May,CA,3060.6033,377.0,40,39,1,1.0,43,2,1,3,6,"Foreign Born, Not a US Citizen",9,"** Groceries and related products, merchant wholesalers (*4244)",6040,"Private, For Profit",Yes,,Employed-At Work
106783,456248930629003,May,CA,3113.0899,500.0,40,40,1,1.0,43,1,1,3,6,"Foreign Born, US Cit By Naturalization",9,5275,3930,"Private, For Profit",No,No,Employed-At Work
106784,460181063808494,May,CA,3181.6331,1442.3,40,42,4,,43,1,1,2,2,"Foreign Born, US Cit By Naturalization",9,"Justice, public order, and safety activities (922, pt. 92115)",3850,Government - Local,No,No,Employed-At Work
106789,460306077900794,May,CA,3740.6751,442.0,40,39,1,1.0,22,1,7,0,0,"Native, Born In US",9,Couriers and messengers (492),5510,"Private, For Profit",No,No,Employed-At Work
106790,460370057003007,May,CA,3461.9672,553.0,10,44,1,,38,2,1,2,2,"Native, Born In US",9,Legal services (5411),5700,"Private, For Profit",No,No,Employed-Absent
106792,460461092603949,May,CA,4018.3527,1057.69,50,43,1,,23,1,7,0,0,"Native, Born In US",9,Motion pictures and video industries (5121),800,"Private, For Profit",No,No,Employed-At Work
106793,460461092603949,May,CA,4018.3527,1057.69,60,43,1,,24,1,7,0,0,"Native, Born In US",9,Real estate (531),840,"Private, For Profit",No,No,Employed-At Work
106795,471091309600666,May,CA,3039.4022,506.5,40,39,1,,45,2,1,1,2,"Native, Born In US",9,Scientific research and development services (5417),5700,"Private, Nonprofit",No,No,Employed-At Work
106796,471091309600666,May,CA,3726.8224,550.0,40,43,1,8.0,47,1,1,1,2,"Native, Born In US",9,"Other amusement, gambling, and recreation industries (713 exc. 71395)",4320,"Private, For Profit",No,No,Employed-At Work
106798,476095298600532,May,CA,3361.6648,300.0,40,39,1,5.0,35,2,7,2,6,"Foreign Born, Not a US Citizen",9,Grocery stores (4451),4720,"Private, For Profit",No,Yes,Employed-At Work
106799,476095298600532,May,CA,3471.9847,256.0,16,39,1,5.0,26,1,7,0,0,"Foreign Born, Not a US Citizen",9,** Construction (23),6420,"Private, For Profit",No,No,Employed-At Work
106804,496989570549009,May,CA,3360.8249,923.07,70,42,2,,35,1,7,0,0,"Foreign Born, US Cit By Naturalization",9,Taxi and limousine service (4853),9140,"Private, For Profit",No,No,Employed-At Work
106805,500969093907759,May,CA,3519.0285,492.0,40,37,1,1.0,38,2,7,1,3,"Native, Born In US",9,Restaurants and other food services (722 exc. 7224),4110,"Private, For Profit",No,No,Employed-At Work
106816,507901700899476,May,CA,2960.7762,700.0,45,43,1,,58,2,7,0,0,"Native, Born In US",9,Scientific research and development services (5417),1965,"Private, For Profit",No,No,Employed-At Work
106820,520469094303268,May,CA,2418.4921,360.0,40,38,1,1.0,50,2,7,0,0,"Foreign Born, Not a US Citizen",9,"Clothing and accessories, except shoe, stores (448 exc. 44821, 4483)",4700,"Private, For Profit",No,No,Employed-At Work
106822,520469094307267,May,CA,2538.8915,1096.0,40,43,1,,59,2,1,0,0,"Native, Born In US",9,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",2160,"Private, For Profit",No,No,Employed-At Work
106823,538099979600814,May,CA,2768.8163,360.0,40,38,1,1.0,56,1,1,0,0,"Foreign Born, Not a US Citizen",9,"Residential care facilities, without nursing (6232, 6233, 6239)",4250,"Private, For Profit",No,No,Employed-At Work
106824,538099979600814,May,CA,2418.4921,1923.0,40,43,1,1.0,53,2,1,0,0,"Foreign Born, US Cit By Naturalization",9,Real estate (531),800,"Private, For Profit",No,No,Employed-At Work
106825,538099979600814,May,CA,3656.0799,224.0,28,39,1,1.0,24,2,7,0,0,"Native, Born In US",9,Restaurants and other food services (722 exc. 7224),5600,"Private, For Profit",No,No,Employed-At Work
106826,538099979600814,May,CA,3471.9847,425.0,40,39,1,1.0,28,1,7,2,5,"Native, Born In US",9,Printing and related support activities (3231),8255,"Private, For Profit",No,No,Employed-At Work
106827,538099979600814,May,CA,3656.8548,1200.0,40,43,1,1.0,34,1,7,0,0,"Native, Born In US",9,Insurance carriers and related activities (524),4810,"Private, For Profit",No,No,Employed-At Work
106828,538099979600814,May,CA,3422.8781,530.0,40,39,1,1.0,26,2,7,2,5,"Native, Born In US",9,Restaurants and other food services (722 exc. 7224),310,"Private, For Profit",No,No,Employed-At Work
106832,560096083900992,May,CA,3188.5308,2134.62,40,43,1,,53,1,1,0,0,"Native, Born In US",9,** Construction (23),430,"Private, For Profit",No,No,Employed-At Work
106833,560096083900992,May,CA,2960.7762,1800.0,40,43,1,,55,2,1,0,0,"Native, Born In US",9,Nursing care facilities (6231),350,"Private, For Profit",No,No,Employed-At Work
106834,560228047906499,May,CA,2919.3595,1923.07,40,40,1,,57,1,1,0,0,"Native, Born In US",9,"Banking and related activities (521, 52211,52219)",120,"Private, For Profit",No,No,Employed-At Work
106837,560234073906296,May,CA,3113.0899,2692.3,96,41,1,1.0,41,1,1,2,3,"Native, Born In US",9,"Justice, public order, and safety activities (922, pt. 92115)",3740,Government - Local,Yes,,Employed-At Work
106838,560234077604296,May,CA,3293.2162,600.0,40,40,1,1.0,46,1,7,0,0,"Foreign Born, US Cit By Naturalization",9,Automotive equipment rental and leasing (5321),4740,"Private, For Profit",No,No,Employed-At Work
106839,560234077705296,May,CA,2538.8915,346.15,6,43,1,,58,2,5,0,0,"Native, Born In US",9,Offices of dentists (6212),3310,"Private, For Profit",No,No,Employed-At Work
106840,560763098507478,May,CA,2606.314,1384.61,45,43,1,,45,2,1,3,8,"Native, Born In US",9,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work
106841,560763098507478,May,CA,3293.2162,1269.23,60,38,1,1.0,46,1,1,3,8,"Foreign Born, Not a US Citizen",9,Grocery stores (4451),4700,"Private, For Profit",No,No,Employed-At Work
106842,560967097207679,May,CA,3374.0159,1661.53,40,42,2,,62,2,1,0,0,"Native, Born In US",9,Oil and gas extraction (211),1006,"Private, For Profit",No,No,Employed-At Work
106844,570003470600307,May,CA,3651.1352,480.0,53,43,4,,55,2,1,0,0,"Foreign Born, US Cit By Naturalization",9,Automotive repair and maintenance (8111 exc. 811192),4710,"Private, For Profit",No,No,Employed-At Work
106846,570003470600307,May,CA,6242.9864,480.0,40,40,4,,27,1,7,0,0,"Native, Born In US",9,Automotive repair and maintenance (8111 exc. 811192),4710,"Private, For Profit",No,No,Employed-At Work
106852,572090269600381,May,CA,3359.7937,1080.0,24,44,1,,41,2,1,2,3,"Native, Born In US",9,Outpatient care centers (6214),3160,"Private, For Profit",No,No,Employed-At Work
106853,572090269600381,May,CA,2950.6901,440.0,40,44,1,,48,1,1,2,3,"Native, Born In US",9,"Bus service and urban transit (4851, 4852, 4854, 4855, 4859)",5165,Government - Local,No,No,Employed-At Work
106854,572097249600355,May,CA,4657.8541,1923.07,40,44,4,,31,1,1,0,0,"Foreign Born, Not a US Citizen",9,Computer systems design and related services (5415),1020,"Private, For Profit",No,No,Employed-At Work
106855,572097249600355,May,CA,5140.9462,1346.15,40,43,4,,25,2,1,0,0,"Foreign Born, Not a US Citizen",9,Computer systems design and related services (5415),1020,"Private, For Profit",No,No,Employed-At Work
106856,577093189600678,May,CA,4492.0118,276.0,24,40,1,,24,1,7,0,0,"Native, Born In US",9,Restaurants and other food services (722 exc. 7224),4110,"Private, For Profit",No,No,Employed-At Work
106857,577093189600678,May,CA,3406.3355,675.0,24,43,1,1.0,29,2,7,0,0,"Foreign Born, US Cit By Naturalization",9,"Miscellaneous fabricated metal products manufacturing (3325, 3326, 3329 exc. 332992, 332993, 332994, 332995)",430,"Private, For Profit",No,No,Employed-At Work
106858,603903440696006,May,CA,3583.1073,243.0,30,31,1,5.0,28,2,7,0,0,"Foreign Born, Not a US Citizen",9,"Clothing and accessories, except shoe, stores (448 exc. 44821, 4483)",4760,"Private, For Profit",No,No,Employed-At Work
106859,606800018720970,May,CA,3203.4606,840.0,40,41,1,1.0,32,2,1,2,5,"Foreign Born, Not a US Citizen",9,** Construction (23),5000,"Private, For Profit",No,No,Employed-At Work
106860,606800018720970,May,CA,3656.8548,938.0,50,41,1,1.0,33,1,1,2,5,"Native, Born In US",9,Medical equipment and supplies manufacturing (3391),8760,"Private, For Profit",No,No,Employed-At Work
106862,607007700109586,May,CA,3114.994,711.0,45,43,1,,54,2,1,0,0,"Native, Born In US",9,Nursing care facilities (6231),350,"Private, Nonprofit",No,No,Employed-At Work
106863,620910190000070,May,CA,2291.8697,1442.0,40,43,2,,29,2,7,0,0,"Native, Born In US",9,"Non-depository credit and related activities (5222, 5223)",20,Government - Federal,Yes,,Employed-At Work
106867,634091448600818,May,CA,3203.4606,418.4,40,41,1,1.0,31,2,1,2,9,"Native, Born In US",9,*** Electronic shopping (New industry *454111),5350,"Private, For Profit",No,No,Employed-At Work
106868,634091448600818,May,CA,3656.8548,640.0,40,40,1,1.0,31,1,1,2,9,"Foreign Born, Not a US Citizen",9,Landscaping services (56173),4250,"Private, For Profit",No,No,Employed-At Work
106869,636090379600873,May,CA,3325.6422,400.0,30,41,1,1.0,28,2,1,0,0,"Native, Born In US",9,"** Groceries and related products, merchant wholesalers (*4244)",5700,"Private, Nonprofit",No,No,Employed-At Work
106870,636090379600873,May,CA,3789.2979,300.0,25,40,1,6.0,27,1,1,0,0,"Foreign Born, Not a US Citizen",9,** Construction (23),6515,"Private, For Profit",No,No,Employed-At Work
106872,647490356220970,May,CA,2791.9,650.0,40,39,1,,58,1,7,0,0,"Native, Born In US",9,Insurance carriers and related activities (524),5620,"Private, For Profit",No,No,Employed-At Work
106874,648490356220930,May,CA,3060.6033,380.0,40,39,1,8.0,43,2,1,0,0,"Foreign Born, Not a US Citizen",9,Cut and sew apparel manufacturing (3152),8320,"Private, For Profit",No,No,Employed-At Work
